name;url;colocated
WECode Hackathon;https://wehack.devpost.com/;True
Hack Dartmouth;https://hackdartmouth2015.devpost.com/;True
TreeHacks 2018;https://treehacks-2018.devpost.com/;True
Hack NYU;https://hacknyu2015.devpost.com/;True
Apps for Vehicles Challenge: Final Round;https://vehicles.devpost.com/;False
#SlackathonMTL;https://slackathonmtl.devpost.com/;True
AGHacks 2015;https://aghacks2015.devpost.com/;True
Hack the North 2017;https://hackthenorth2017.devpost.com/;True
HackMIT;https://hackmit.devpost.com/;True
HAkron 2017;https://hakron2017.devpost.com/;True
She Innovates Women's Hackathon Pittsburgh;https://sheinnovates16.devpost.com/;True
McHacks 2014;https://mchacks.devpost.com/;True
appbackr HTML5 to Tizen Challenge;https://html5fortizen.devpost.com/;False
Hack-the-map-2;https://hack-the-map-2.devpost.com/;True
TreeHacks 2017;https://treehacks-2017.devpost.com/;True
inNOVAtion;https://innovation.devpost.com/;True
FINRA CDHacks;https://finracdhacks.devpost.com/;True
HackNC 2017;https://hacknc2017.devpost.com/;True
CUES Hackathon 2017 Powered by ARM, created with Mbed;https://cues-arm-hackathon-2017.devpost.com/;True
Brown University Datathon 2018;https://browndatathon.devpost.com/;True
ProfHacks;https://profhacks17.devpost.com/;True
Hack@WPI 2018;https://hack-wpi-2018.devpost.com/;True
HackDavis 2017;https://hackdavis2017.devpost.com/;True
TwitchCon Hackathon 2017 Presented by Major League Hacking;https://twitchcon-hackathon-2017.devpost.com/;True
SB Hacks;https://sbhacks.devpost.com/;True
GreatUniHack Fall 2016;https://2016fgreatunihack.devpost.com/;True
Hackathonukah 2014;https://hackathonukah2014.devpost.com/;True
TechCrunch Disrupt London;https://disrupteu2015.devpost.com/;True
Hack UCSC 2017;https://hackucsc2017.devpost.com/;True
HackGT 2017;https://hackgt2017.devpost.com/;True
TechCrunch Disrupt EU Hackathon 2014: London;https://disrupteuhackathon.devpost.com/;True
We Code: Women's Hackathon;https://wecode.devpost.com/;True
TerribleHack X;https://terriblehack-x.devpost.com/;True
Winter WonderHack;https://wwh2017.devpost.com/;True
RIT iOS App Challenge 2016;https://ritios2016.devpost.com/;True
Hackberry Pi 2016;https://pi-2016.devpost.com/;True
HackPrinceton Spring 2014;https://hackprincetons2014.devpost.com/;True
MTA App Quest;https://2012-mtaappquest.devpost.com/;False
HackPR F15;https://hackpr2015.devpost.com/;True
Pearl Hacks 2018;https://pearlhacks2018.devpost.com/;True
GET Hackathon 2016;https://get2016.devpost.com/;True
Technica 2017;https://technica2017.devpost.com/;True
Hoya Hacks;https://hoyahacks.devpost.com/;True
NYC Connected: Broadband Data Dig;https://nycbroadbanddatadig.devpost.com/;True
iNTUition 2017;https://intuition17.devpost.com/;True
HackSC Fall 2014;https://hackscfall2014.devpost.com/;True
